,Unnamed: 0.1,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type,matching_explanations
2,65,65,1257692349.jpg#2r1e,entailment,A group of onlookers glance at a person doing a strange trick on her head.,People watch another person do a trick.,People watch a person doing a strange trick., A group of onlookers glance at a *person* *doing* a *strange* trick on her head., *People* *watch* another person do a *trick.*,"People watch another person ""do a trick"" and that trick is said to be ""strange trick"".", A group of onlookers glance at a person doing a *strange* *trick* on her head., People watch another person do a *trick.*,Group of onlookers is a form of people., A *group* *of* *onlookers* glance at a person doing a strange trick on her head., *People* watch another person do a trick.,"['person', 'doing', 'strange']","['People', 'watch', 'trick.']","['strange', 'trick']",['trick.'],"['group', 'of', 'onlookers']",['People'],classification,3
4,86,86,5777129645.jpg#2r1n,entailment,The two farmers are working on a piece of John Deere equipment.,Men are working on John Deere equipment,The two farmers can also be denoted as men as they work on an equipment., The *two* *farmers* are working on a piece of John Deere equipment., *Men* are *working* on John Deere *equipment*,"Often farmers are men, and they are working on the John Deere equipment.", The two farmers are *working* on a piece of *John* *Deere* *equipment.*, Men are *working* on *John* *Deere* *equipment*,Farmers are a type of men., The two *farmers* are working on a piece of John Deere equipment., *Men* are working on John Deere equipment,"['two', 'farmers']","['Men', 'working', 'equipment']","['working', 'John', 'Deere', 'equipment.']","['working', 'John', 'Deere', 'equipment']",['farmers'],['Men'],classification,3
16,314,314,4916500021.jpg#1r1e,entailment,A man with a beard skateboarding and a boy with a blue and black backpack riding a green bike in the background.,There is a man and a boy outside.,Riding a green bike implies outside., A man with a beard skateboarding and a boy with a blue and black backpack *riding* *a* *green* *bike* in the background., There is a man and a boy *outside.*,"Man with a beard is a type of man, and boy riding bike implies outside.", A *man* *with* *a* *beard* skateboarding and a *boy* with a blue and black backpack *riding* a green *bike* in the background., There is a *man* and a boy *outside.*,to be skateboarding and riding bike you have to be outside, A man with a beard *skateboarding* and a boy with a blue and black backpack *riding* a green *bike* in the background., There is a man and a boy *outside.*,"['riding', 'a', 'green', 'bike']",['outside.'],"['man', 'with', 'a', 'beard', 'boy', 'riding', 'bike']","['man', 'outside.']","['skateboarding', 'riding', 'bike']",['outside.'],classification,2
23,462,462,1229756013.jpg#0r1e,entailment,A dog leaps into the air in a grassy field surrounded by trees.,A dog is in a grassy field filled with trees.,Because a dog is playing in a grassy field where there are many trees., A *dog* leaps into the air in a *grassy* *field* surrounded by *trees.*, A *dog* is in a *grassy* *field* filled with *trees.*,"Dog leaps into the air is a type of dog, and field implies grassy.", A *dog* *leaps* *into* the air in a grassy *field* surrounded by trees., A *dog* is in a *grassy* field filled with trees.,The grassy field is surrounded by trees., A dog leaps into the air in a grassy field *surrounded* *by* *trees.*, A dog is in a *grassy* *field* filled with trees.,"['dog', 'grassy', 'field', 'trees.']","['dog', 'grassy', 'field', 'trees.']","['dog', 'leaps', 'into', 'field']","['dog', 'grassy']","['surrounded', 'by', 'trees.']","['grassy', 'field']",classification,2
25,476,476,366978558.jpg#2r1e,entailment,"A woman is looking into a mirror, brushing her hair.",A woman is brushing her hair.,"A woman is brushing her hair is a rephrasing of ""A woman is looking into a mirror, brushing her hair"""," A *woman* is looking into a mirror, *brushing* her *hair.*", A *woman* is *brushing* her *hair.*,Looking into a mirror brushing hair is the same as brushing hair.," A woman is *looking* *into* a *mirror,* *brushing* her *hair.*", A woman is *brushing* her *hair.*,Woman looking into a mirror is a type of woman.," A *woman* is *looking* *into* *a* *mirror,* brushing her hair.", A *woman* is brushing her hair.,"['woman', 'brushing', 'hair.']","['woman', 'brushing', 'hair.']","['looking', 'into', 'mirror', 'brushing', 'hair.']","['brushing', 'hair.']","['woman', 'looking', 'into', 'a', 'mirror']",['woman'],classification,3
32,610,610,1509542787.jpg#3r1e,entailment,People on a concrete area taking pictures.,people take pictures,People taking pictures is another way of saying people take pictures., *People* on a concrete area *taking* *pictures.*, *people* *take* *pictures*,"In this case, taking pictures is a rephrasing of take pictures.", People on a concrete area *taking* *pictures.*, people *take* *pictures*,people taking pictures is other form of people take pictures, *People* on a concrete area *taking* *pictures.*, *people* *take* *pictures*,"['People', 'taking', 'pictures.']","['people', 'take', 'pictures']","['taking', 'pictures.']","['take', 'pictures']","['People', 'taking', 'pictures.']","['people', 'take', 'pictures']",classification,3
56,1159,1159,7579633346.jpg#4r1e,entailment,A little girl in a purple cap blows soap bubbles.,There are soap bubbles being blown.,"If someone blows, then something is being blown.", A little girl in a purple cap *blows* soap bubbles., There are soap bubbles being *blown.*,"If a little girl blows soap bubbles, there are soap bubbles being blown.", A *little* *girl* in a purple cap *blows* *soap* *bubbles.*, There are soap bubbles being blown.,A little girl blows soap bubbles is active form of soap bubbles being blown., A *little* *girl* in a purple cap *blows* *soap* *bubbles.*, There are *soap* *bubbles* *being* *blown.*,['blows'],['blown.'],"['little', 'girl', 'blows', 'soap', 'bubbles.']",[],"['little', 'girl', 'blows', 'soap', 'bubbles.']","['soap', 'bubbles', 'being', 'blown.']",classification,3
64,1439,1439,4553696388.jpg#4r1e,entailment,Man in leather jacket reading a book.,A man is reading,'Man reading' absolutely indicates that a man is reading., *Man* in leather jacket *reading* a book., *A* *man* *is* *reading*,"Reading a book is a type of reading, and man in leather jacket is a type of man.", *Man* *in* *leather* *jacket* *reading* *a* *book.*, A *man* is *reading*,There was a man reading a book., Man in leather jacket *reading* a book., A man is *reading*,"['Man', 'reading']","['A', 'man', 'is', 'reading']","['Man', 'in', 'leather', 'jacket', 'reading', 'a', 'book.']","['man', 'reading']",['reading'],['reading'],classification,2
91,1891,1891,6917567087.jpg#0r1e,entailment,A man standing at the front of the room is pointing up while several people who are seated look towards him.,A man standing in a room is pointing up.,Man standing at the front is a type of man., A *man* *standing* *at* *the* *front* of the room is pointing up while several people who are seated look towards him., A *man* standing in a room is pointing up.,There is both a man standing pointing up., A *man* *standing* at the front of the room is *pointing* *up* while several people who are seated look towards him., A *man* *standing* in a room is *pointing* *up.*,Standing at the front of the room is a paraphrase of standing in a room., A man *standing* *at* *the* *front* *of* *the* *room* is pointing up while several people who are seated look towards him., A man *standing* *in* *a* *room* is pointing up.,"['man', 'standing', 'at', 'the', 'front']",['man'],"['man', 'standing', 'pointing', 'up']","['man', 'standing', 'pointing', 'up.']","['standing', 'at', 'the', 'front', 'of', 'the', 'room']","['standing', 'in', 'a', 'room']",classification,1
111,2326,2326,7096517911.jpg#3r1e,entailment,A man trying to block another man from shooting the ball in.,The man is is near the ball.,A man has to be near the to keep another man from shooting it., A man trying to *block* another man from *shooting* the *ball* in., The man is is *near* *the* ball.,To block another man from shooting the ball is the same as being near the ball., A man trying to *block* *another* *man* *from* *shooting* *the* *ball* in., The man is is *near* *the* *ball.*,"Man trying to block is a type of man, and shooting the ball in implies near the ball.", A *man* *trying* *to* *block* another man from *shooting* *the* *ball* *in.*, The *man* is is *near* *the* *ball.*,"['block', 'shooting', 'ball']","['near', 'the']","['block', 'another', 'man', 'from', 'shooting', 'the', 'ball']","['near', 'the', 'ball.']","['man', 'trying', 'to', 'block', 'shooting', 'the', 'ball', 'in.']","['man', 'near', 'the', 'ball.']",classification,3
115,2392,2392,448658518.jpg#0r1e,entailment,A large man dressed in black on a street corner by a red brick building.,A man is on the street corner.,Large man dressed in black is a type of man., A *large* *man* *dressed* *in* *black* on a street corner by a red brick building., A *man* is on the street corner.,A large man is a man and a street corner by a red brick building is a street corner., *A* *large* *man* dressed in black on a *street* *corner* by a red brick building., *A* *man* is on the *street* *corner.*,The man could be large in size., A *large* *man* dressed in black on a street corner by a red brick building., A *man* is on the street corner.,"['large', 'man', 'dressed', 'in', 'black']",['man'],"['A', 'large', 'man', 'street', 'corner']","['A', 'man', 'street', 'corner.']","['large', 'man']",['man'],classification,1
136,2694,2694,4970845641.jpg#0r1e,entailment,An African American wearing a red backpack looks the photographer as he walks past a concrete wall covered in graffiti.,a person wears a backpack,"African American is a person, and red backpack is a type of backpack.", An *African* *American* wearing a *red* *backpack* looks the photographer as he walks past a concrete wall covered in graffiti., a *person* wears a *backpack*,"An African American is a person. ""Wears a backpack"" restates ""wearing a red backpack.""", An *African* *American* *wearing* a red *backpack* looks the photographer as he walks past a concrete wall covered in graffiti., a *person* *wears* a *backpack*,AFRICAN AMERICAN PERSON WEARING BACKPACK., An *African* *American* wearing a red *backpack* looks the photographer as he walks past a concrete wall covered in graffiti., a *person* wears a *backpack*,"['African', 'American', 'red', 'backpack']","['person', 'backpack']","['African', 'American', 'wearing', 'backpack']","['person', 'wears', 'backpack']","['African', 'American', 'backpack']","['person', 'backpack']",classification,1
165,3186,3186,3306464579.jpg#2r1e,entailment,a man with a tattoo on his arm cooking something in a frying pan.,A man cooks food.,A man with a fish tattoo cooks fish food in the frying pan`, a *man* with a *tattoo* on his arm cooking something in a *frying* *pan.*, A man *cooks* *food.*,"A man with a tattoo is a man, and cooking food can be conveyed in the present tense 'cooks'.", a man with a tattoo on his arm *cooking* something in a frying pan., A man *cooks* food.,"Man with a tattoo on his arm is a type of man, and cooking something is a paraphrase of cooks food.", a *man* *with* *a* *tattoo* *on* *his* *arm* cooking something in a frying pan., A *man* cooks food.,"['man', 'tattoo', 'frying', 'pan.']","['cooks', 'food.']",['cooking'],['cooks'],"['man', 'with', 'a', 'tattoo', 'on', 'his', 'arm']",['man'],classification,3
172,3299,3299,7810644900.jpg#4r1e,entailment,Man with dreadlocks on a skateboard in the middle of the street.,The man is outside.,Streets are outside., Man with dreadlocks on a skateboard in the middle of the *street.*, The man is *outside.*,"Man with dreadlocks is a type of man, and street implies outside.", *Man* *with* *dreadlocks* on a skateboard in the middle of the *street.*, The *man* is *outside.*,"Skateboarding on the street is an outdoor activity, thus the man is outside..", *Man* with dreadlocks on a *skateboard* in the middle of the *street.*, The *man* is *outside.*,['street.'],['outside.'],"['Man', 'with', 'dreadlocks', 'street.']","['man', 'outside.']","['Man', 'skateboard', 'street.']","['man', 'outside.']",classification,2
180,3393,3393,8042217958.jpg#0r1e,entailment,"A woman watching six televisions, while sitting on a hardwood floor in a beautiful room made of bricks with large windows, while a dark-haired man leaning on a windowsill is watching her.",The woman is inside.,The woman is inside the beautiful room.," A woman watching six televisions, while sitting on a hardwood floor in a *beautiful* *room* made of bricks with large windows, while a dark-haired man leaning on a windowsill is watching her.", The *woman* is *inside.*,A woman is inside watching television.," A woman *watching* six *televisions,* while sitting on a hardwood floor in a beautiful room made of bricks with large windows, while a dark-haired man leaning on a windowsill is watching her.", The *woman* is *inside.*,"Woman watching six televisions is a type of woman, and room implies inside."," A *woman* *watching* *six* *televisions,* while sitting on a hardwood floor in a beautiful *room* made of bricks with large windows, while a dark-haired man leaning on a windowsill is watching her.", The *woman* is *inside.*,"['beautiful', 'room']","['woman', 'inside.']","['watching', 'televisions']","['woman', 'inside.']","['woman', 'watching', 'six', 'televisions', 'room']","['woman', 'inside.']",classification,3
