,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type
1,1,4705552913.jpg#2r1e,entailment,Two women are embracing while holding to go packages.,Two woman are holding packages.,Saying the two women are holding packages is a way to paraphrase that the packages they are holding are to go packages., Two women are embracing while holding *to* *go* *packages.*, Two woman are *holding* *packages.*,Sentence 1 states that two women are holding to-go packages. To-go packages are a form of package., *Two* *women* are embracing while *holding* to go *packages.*, Two woman are holding packages.,Women can embrace while they are holding packages., Two *women* are *embracing* while holding to go packages., Two woman are *holding* *packages.*,['to go packages'],['holding packages'],"['Two women', 'holding', 'packages']",[],"['women', 'embracing']",['holding packages'],classification
33,33,3021028400.jpg#1r1e,entailment,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",A person in a suit,"A man is a person, and both sentences mention suits."," *Man* in a black *suit,* white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.", A *person* in a *suit*,"Man is person, and black suit is a type of suit."," *Man* in a *black* *suit,* white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.", A *person* in a *suit*,A man is a type of person.," *Man* in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.", A *person* in a suit,"['Man', 'suit']","['person', 'suit']","['Man', 'black suit']","['person', 'suit']",['Man'],['person'],classification
65,65,1257692349.jpg#2r1e,entailment,A group of onlookers glance at a person doing a strange trick on her head.,People watch another person do a trick.,People watch a person doing a strange trick., A group of onlookers glance at a *person* *doing* a *strange* trick on her head., *People* *watch* another person do a *trick.*,"People watch another person ""do a trick"" and that trick is said to be ""strange trick"".", A group of onlookers glance at a person doing a *strange* *trick* on her head., People watch another person do a *trick.*,Group of onlookers is a form of people., A *group* *of* *onlookers* glance at a person doing a strange trick on her head., *People* watch another person do a trick.,"['person doing', 'strange']","['People watch', 'trick']",['strange trick'],['trick'],['group of onlookers'],['People'],classification
84,84,8162775105.jpg#3r1e,entailment,A pregnant lady singing on stage while holding a flag behind her.,A woman is making music.,Pregnant lady implies woman., A *pregnant* *lady* singing on stage while holding a flag behind her., A *woman* is making music.,"Pregnant lady is a type of woman, and singing is making music.", A *pregnant* *lady* *singing* on stage while holding a flag behind her., A *woman* is *making* *music.*,A pregnant lady is a woman and singing is a form of making music, *A* *pregnant* *lady* *singing* on stage while holding a flag behind her., *A* *woman* *is* *making* *music.*,['pregnant lady'],['woman'],['pregnant lady singing'],"['woman', 'making music']",['A pregnant lady singing'],['A woman is making music'],classification
86,86,5777129645.jpg#2r1n,entailment,The two farmers are working on a piece of John Deere equipment.,Men are working on John Deere equipment,The two farmers can also be denoted as men as they work on an equipment., The *two* *farmers* are working on a piece of John Deere equipment., *Men* are *working* on John Deere *equipment*,"Often farmers are men, and they are working on the John Deere equipment.", The two farmers are *working* on a piece of *John* *Deere* *equipment.*, Men are *working* on *John* *Deere* *equipment*,Farmers are a type of men., The two *farmers* are working on a piece of John Deere equipment., *Men* are working on John Deere equipment,['two farmers'],"['Men', 'working', 'equipment']","['working', 'John Deere equipment']","['working', 'John Deere equipment']",['farmers'],['Men'],classification
116,116,3208032657.jpg#2r1e,entailment,A person powerwashing stairs leading down to a pool.,a person washes stairs,powerwashing stairs is the same as washes stairs, A person *powerwashing* stairs leading down to a pool., a person *washes* *stairs*,A PERSON IS POWERWASHING THE STAIRS, A person *powerwashing* stairs leading down to a pool., a *person* washes *stairs*,Powerwashing is a form of washing., A person *powerwashing* stairs leading down to a pool., a person *washes* stairs,['powerwashing'],['washes stairs'],['powerwashing'],"['person', 'stairs']",['powerwashing'],['washes'],classification
117,117,3208032657.jpg#2r1n,entailment,A person powerwashing stairs leading down to a pool.,a worker cleans near the pool,"Worker, refers to the the person powerwashing the stairs.", A *person* *powerwashing* *stairs* leading down to a pool., a *worker* cleans near the pool,Powerwashing implies that the person is cleaning and it's leading down to the pool which means it is near the pool., A person *powerwashing* *stairs* *leading* *down* *to* *a* *pool.*, a worker *cleans* *near* *the* *pool*,Powerwashing is a type of cleaning., A person *powerwashing* stairs leading down to a pool., a worker *cleans* near the pool,['person powerwashing stairs'],['worker'],['powerwashing stairs leading down to a pool'],['cleans near the pool'],['powerwashing'],['cleans'],classification
175,175,4927150698.jpg#2r1e,entailment,People are throwing tomatoes at each other.,The people are having a food fight.,It is implied that throwing tomatoes at each other is having a food fight., People are *throwing* *tomatoes* at each other., The people are having a *food* *fight.*,A tomato is a type of food, People are throwing *tomatoes* at each other., The people are having a *food* fight.,People throwing tomatoes at each other is a food fight., *People* are *throwing* *tomatoes* *at* *each* *other.*, The people are having a food fight.,['throwing tomatoes'],['food fight'],['tomatoes'],['food'],"['People', 'throwing tomatoes at each other']",[],classification
206,206,4869280869.jpg#0r1e,entailment,A lot of people walking outside a row of shops with an older man with his hands in his pocket is closer to the camera.,A lot of people walking outside a row of shops with a man with hands in his pockets.,An older man is a type of man., A lot of people walking outside a row of shops with *an* *older* *man* with his hands in his pocket is closer to the camera., A lot of people walking outside a row of shops with a *man* with hands in his pockets.,people are walking outside, A lot of people walking *outside* a row of *shops* with an older man with his hands in his pocket is closer to the camera., A lot of people *walking* *outside* a row of *shops* with a man with hands in his pockets.,A LOT OF PEOPLE CAN BE WALKING OUTSIDE WHERE THERE CAN BE SHOPS OUTSIDE, A lot of people walking outside a row of *shops* with an older man with his hands in his pocket is closer to the camera., A lot of *people* walking *outside* a row of shops with a man with hands in his pockets.,['an older man'],['man'],"['outside', 'shops']","['walking outside', 'shops']",['shops'],"['people', 'outside']",classification
222,222,4889307357.jpg#2r1e,entailment,An asian woman sitting outside an outdoor market stall.,A woman sits outdoors.,An asian woman is a type of woman., *An* *asian* *woman* sitting outside an outdoor market stall., A *woman* sits outdoors.,"Sentences share the same subject (woman), verb (sits, sitting), and direct object (outdoors).", An asian *woman* *sitting* outside an *outdoor* market stall., A *woman* *sits* *outdoors.*,One who is outside an outdoor market is outdoors., An asian woman sitting *outside* *an* *outdoor* *market* stall., A woman sits *outdoors.*,['An asian woman'],['woman'],"['woman sitting', 'outdoor']",['woman sits outdoors'],['outside an outdoor market'],['outdoors'],classification
238,238,4631832689.jpg#1r1e,entailment,A man sits in a chair on the sidewalk in front of a huge display of brightly colored artwork.,A man sits in a chair on the sidewalk in front of a huge display of brightly colored artwork,A man is a type of man., A *man* sits in a chair on the sidewalk in front of a huge display of brightly colored artwork., A *man* sits in a chair on the sidewalk in front of a huge display of brightly colored artwork,The sidewalk must be where the man is sitting since it states he is sitting., A *man* *sits* in a chair on the sidewalk in front of a huge display of brightly colored artwork., A man sits in a chair on *the* *sidewalk* in front of a huge display of brightly colored artwork,"There is no difference in these sentences, it is only a repetition.", *A* man sits in a chair on the sidewalk in front of a huge display of brightly colored artwork., *A* man sits in a chair on the sidewalk in front of a huge display of brightly colored artwork,['man'],['man'],['man sits'],['the sidewalk'],['A'],['A'],classification
246,246,164380865.jpg#3r1e,entailment,This is the image of two Asian men squatting near a mop-pad.,This picture is of two Asian men.,Two Asian men are squatting near a mop-pad., This is the image of *two* *Asian* *men* squatting near a mop-pad., This picture is of *two* *Asian* *men.*,Two Asian men squatting is a type of two Asian men., This is the image of *two* *Asian* *men* *squatting* near a mop-pad., This picture is of *two* *Asian* *men.*,"If there are two Asian men squatting, there are two Asian men.", This is the image of *two* *Asian* *men* *squatting* near a mop-pad., This picture is of *two* *Asian* *men.*,['two Asian men'],['two Asian men'],['two Asian men squatting'],['two Asian men'],['two Asian men squatting'],['two Asian men'],classification
257,257,2673209105.jpg#1r1e,entailment,A young barefoot girl in a pink dress is jumping outside.,A child is playing.,The child is playing because she is jumping., A young barefoot girl in a pink dress is *jumping* outside., A child is *playing.*,"Young barefoot girl is a type of child, and jumping is a form of playing.", A *young* *barefoot* *girl* in a pink dress is *jumping* outside., A *child* is *playing.*,A child (young barefoot girl) playing because of jumping outside., A *young* barefoot *girl* in a pink dress is *jumping* *outside.*, A *child* is *playing.*,['jumping'],['playing'],"['young barefoot girl', 'jumping']","['child', 'playing']","['young', 'girl', 'jumping outside']","['child', 'playing']",classification
269,269,74736854.jpg#0r1n,entailment,A couple bows their head as a man in a decorative robe reads from a scroll in Asia with a black late model station wagon in the background.,A light black late model station wagon is in the background.,"Light black is a form of black, and a station wagon in the background means a station wagon is in the background.", A couple bows their head as a man in a decorative robe reads from a scroll in Asia with a *black* late model *station* *wagon* *in* *the* *background.*, A *light* *black* late model *station* *wagon* *is* *in* *the* *background.*,A station wagon is a station wagon., A couple bows their head as a man in a decorative robe reads from a scroll in Asia with a black late model *station* *wagon* in the background., A light black late model *station* *wagon* is in the background.,The station wagon in the background could be seen as black or light back depending on the lighting or from the users perspective., A couple bows their head as a man in a decorative robe reads from a scroll in Asia with a *black* late model station wagon in the background., A *light* *black* late model station wagon is in the background.,"['black', 'station wagon in the background']","['light black', 'station wagon is in the background']",['station wagon'],['station wagon'],['black'],['light black'],classification
276,276,4705854511.jpg#3r1e,entailment,A man is reading a newspaper in a car dealership.,A man is at a car dealership.,Reading in a car dealership implies being at the dealership, A man is *reading* a newspaper *in* a *car* *dealership.*, A man is *at* a car dealership.,Man reading a newspaper is a type of man., A *man* is *reading* *a* *newspaper* in a car dealership., A *man* is at a car dealership.,"A man reading a newspaper in a dealership, then he is at the dealership.", A man is *reading* a *newspaper* in a car *dealership.*, A man is *at* a car *dealership.*,"['reading', 'in', 'car dealership']",['at'],"['man', 'reading a newspaper']",['man'],"['reading', 'newspaper', 'dealership']","['at', 'dealership']",classification
284,284,3091403322.jpg#2r1e,entailment,A man wearing a white shirt is playing the drums.,A man is playing a musical instrument.,Drums are a form of musical instrument., A man wearing a white shirt is *playing* the *drums.*, A man is *playing* a musical *instrument.*,The drums are a musical instrument., A man wearing a white shirt is playing *the* *drums.*, A man is playing a *musical* *instrument.*,The drums are musical instruments. Both sentences state that a man is playing the instruments., A *man* wearing a white shirt *is* *playing* *the* *drums.*, A *man* *is* *playing* *a* *musical* *instrument.*,"['playing', 'drums']","['playing', 'instrument']",['the drums'],['musical instrument'],"['man', 'is playing the drums']",['man is playing a musical instrument'],classification
314,314,4916500021.jpg#1r1e,entailment,A man with a beard skateboarding and a boy with a blue and black backpack riding a green bike in the background.,There is a man and a boy outside.,Riding a green bike implies outside., A man with a beard skateboarding and a boy with a blue and black backpack *riding* *a* *green* *bike* in the background., There is a man and a boy *outside.*,"Man with a beard is a type of man, and boy riding bike implies outside.", A *man* *with* *a* *beard* skateboarding and a *boy* with a blue and black backpack *riding* a green *bike* in the background., There is a *man* and a boy *outside.*,to be skateboarding and riding bike you have to be outside, A man with a beard *skateboarding* and a boy with a blue and black backpack *riding* a green *bike* in the background., There is a man and a boy *outside.*,['riding a green bike'],['outside'],"['man with a beard', 'boy', 'riding', 'bike']","['man', 'outside']","['skateboarding', 'riding', 'bike']",['outside'],classification
323,323,3465473743.jpg#0r1e,entailment,Two little girls ride an inflatable dinghy down a purple water slide.,Two girls on a water slide.,"Two little girls are a type of two girls, and purple water slide is a type of water slide.", *Two* *little* *girls* ride an inflatable dinghy down a *purple* *water* *slide.*, *Two* *girls* on a *water* *slide.*,Girls ride a dinghy down a slide., Two little girls *ride* an inflatable *dinghy* *down* a purple water slide., Two *girls* on a water *slide.*,The little girls ride on a water slide., Two *little* girls *ride* an inflatable dinghy down a purple water slide., Two *girls* on a *water* *slide.*,"['Two little girls', 'purple water slide']","['Two girls', 'water slide']","['ride', 'dinghy down']","['girls', 'slide']","['little', 'ride']","['girls', 'water slide']",classification
378,378,2908493594.jpg#0r1e,entailment,"A man in a blue windbreaker jacket, laying face down on a park bench, with a liquor bottle nestled by one of the bench's legs.",A man lays face down on a park bench.,A man is laying face down on a park bench.," A *man* in a blue windbreaker jacket, laying *face* *down* on a *park* *bench,* with a liquor bottle nestled by one of the bench's legs.", A *man* lays *face* *down* on a *park* *bench.*,"A man laying, lays."," A man in a blue windbreaker jacket, *laying* face down on a park bench, with a liquor bottle nestled by one of the bench's legs.", A man *lays* face down on a park bench.,Lays is a form of laying.," A man in a blue windbreaker jacket, *laying* face down on a park bench, with a liquor bottle nestled by one of the bench's legs.", A man *lays* face down on a park bench.,"['man', 'face down', 'park bench']","['man', 'face down', 'park bench']",['laying'],['lays'],['laying'],['lays'],classification
426,426,40302299.jpg#2r1e,entailment,Excited children pass their parents on their way from the parking lot.,Children go past their parents.,Both children went past their parents., Excited children *pass* *their* *parents* on their way from the parking lot., Children go *past* *their* *parents.*,'Children go past their parents' is a rephrasing of 'children pass their parents'., Excited *children* *pass* *their* *parents* on their way from the parking lot., *Children* *go* *past* *their* *parents.*,Excited children are a type of children., *Excited* *children* pass their parents on their way from the parking lot., *Children* go past their parents.,['pass their parents'],['past their parents'],['children pass their parents'],['Children go past their parents'],['Excited children'],['Children'],classification
429,429,4654662119.jpg#0r1e,entailment,Two boys are holding red kites with water in the background.,Persons are involved in outdoor recreation.,Persons is a rephrasing of two boys.  Water in the background implies that they are outdoor., *Two* *boys* are holding red kites with *water* *in* *the* *background.*, *Persons* are involved in *outdoor* recreation.,"Two boys are people, and holding kites is a type of outdoor recreation.", *Two* *boys* are *holding* red *kites* with water in the background., *Persons* are involved in *outdoor* *recreation.*,Two boys is inferred as persons and water in the background is as outdoor recreation, *Two* *boys* are holding red kites with *water* *in* *the* *background.*, *Persons* are involved in *outdoor* *recreation.*,"['Two boys', 'water in the background']","['Persons', 'outdoor']","['Two boys', 'holding', 'kites']","['Persons', 'outdoor recreation']","['Two boys', 'water in the background']","['Persons', 'outdoor recreation']",classification
443,443,3498157589.jpg#0r1n,entailment,A hispanic fruit market with many different fruits and vegetables in view on a city street with a man passing the store dressed in dark pants and a hoodie.,A fruit market is selling vegetables,A fruit market with fruits and vegetables must be selling vegetables., A hispanic fruit market *with* many different *fruits* *and* *vegetables* in view on a city street with a man passing the store dressed in dark pants and a hoodie., A fruit market is *selling* *vegetables*,Hispanic describes the type of fruit market., A *hispanic* *fruit* market with many different fruits and vegetables in view on a city street with a man passing the store dressed in dark pants and a hoodie., A *fruit* *market* is selling vegetables,A FRUIT MARKET IS VISIBLE TO THE PASSERS BY IN THE CITY STREET, A hispanic fruit market with many *different* *fruits* and *vegetables* in view on a *city* *street* with a man passing the store dressed in dark pants and a hoodie., A *fruit* *market* is selling vegetables,"['with', 'fruits and vegetables']",['selling vegetables'],['hispanic fruit'],['fruit market'],"['different fruits', 'vegetables', 'city street']",['fruit market'],classification
447,447,2699733386.jpg#0r1e,entailment,A black and brown dog walks in the shallows of a large body of water.,The dog is in the water.,"A black and brown dog has entered the shallows of a large body of water, the dog must be in the water.", *A* black and brown *dog* *walks* in the *shallows* of a *large* *body* *of* *water.*, *The* *dog* is in *the* *water.*,Both dog is in some part of the water., A black and brown *dog* walks in the shallows of a large body of *water.*, The *dog* is in the *water.*,"Black and brown dog is a type of dog, and shallows implies water.", A *black* *and* *brown* *dog* walks in the *shallows* of a large body of water., The *dog* is in the *water.*,"['A', 'dog walks', 'shallows', 'large body of water']","['The dog', 'the water']","['dog', 'water']","['dog', 'water']","['black and brown dog', 'shallows']","['dog', 'water']",classification
462,462,1229756013.jpg#0r1e,entailment,A dog leaps into the air in a grassy field surrounded by trees.,A dog is in a grassy field filled with trees.,Because a dog is playing in a grassy field where there are many trees., A *dog* leaps into the air in a *grassy* *field* surrounded by *trees.*, A *dog* is in a *grassy* *field* filled with *trees.*,"Dog leaps into the air is a type of dog, and field implies grassy.", A *dog* *leaps* *into* the air in a grassy *field* surrounded by trees., A *dog* is in a *grassy* field filled with trees.,The grassy field is surrounded by trees., A dog leaps into the air in a grassy field *surrounded* *by* *trees.*, A dog is in a *grassy* *field* filled with trees.,"['dog', 'grassy field', 'trees']","['dog', 'grassy field', 'trees']","['dog leaps into', 'field']","['dog', 'grassy']",['surrounded by trees'],['grassy field'],classification
465,465,5235783452.jpg#3r1e,entailment,A man with a large power drill standing next to his daughter with a vacuum cleaner hose.,A man holding a drill stands next to a girl holding a vacuum hose.,A daughter is always a girl., A man with a large power drill standing next to his *daughter* with a vacuum cleaner hose., A man holding a drill stands next to a *girl* holding a vacuum hose.,"There is also another girl, who is not the man's daughter standing next him, with a different kind of hose.", A *man* with a large power drill standing next to his *daughter* with a vacuum *cleaner* *hose.*, A *man* holding a drill stands next to a *girl* holding a vacuum *hose.*,The man holds a power drill., A man with a large *power* drill standing next to his daughter with a vacuum cleaner hose., A man holding a *drill* stands next to a girl holding a vacuum hose.,['daughter'],['girl'],"['man', 'daughter', 'cleaner hose']","['man', 'girl', 'hose']",['power'],['drill'],classification
476,476,366978558.jpg#2r1e,entailment,"A woman is looking into a mirror, brushing her hair.",A woman is brushing her hair.,"A woman is brushing her hair is a rephrasing of ""A woman is looking into a mirror, brushing her hair"""," A *woman* is looking into a mirror, *brushing* her *hair.*", A *woman* is *brushing* her *hair.*,Looking into a mirror brushing hair is the same as brushing hair.," A woman is *looking* *into* a *mirror,* *brushing* her *hair.*", A woman is *brushing* her *hair.*,Woman looking into a mirror is a type of woman.," A *woman* is *looking* *into* *a* *mirror,* brushing her hair.", A *woman* is brushing her hair.,"['woman', 'brushing', 'hair']","['woman', 'brushing', 'hair']","['looking into', 'mirror brushing', 'hair']","['brushing', 'hair']","['woman', 'looking into a mirror']",['woman'],classification
498,498,4696331217.jpg#4r1e,entailment,An indian man walks past a temple on his way to pray.,A man is heading to his house of worship.,a man is heading to his house of worship on the way to pray, An indian man walks past a temple *on* his *way* *to* *pray.*, A *man* is *heading* to his *house* of *worship.*,A man entails an Indian man and walks past a temple on his way to pray and heading to his house of worship are synonymous., An *indian* *man* walks past a *temple* on his *way* to *pray.*, A *man* is *heading* to his *house* of *worship.*,A temple is a type of house of worship., An indian man walks past a *temple* on his way to pray., A man is heading to his *house* *of* *worship.*,"['on', 'way to pray']","['man', 'heading', 'house', 'worship']","['indian man', 'temple', 'way', 'pray']","['man', 'heading', 'house', 'worship']",['temple'],['house of worship'],classification
547,547,517102724.jpg#4r1e,entailment,A black dog in front of a waterfall.,A dog is in front of a waterfall.,A black dog is a dog in front of a waterfall., A *black* *dog* in front of a waterfall., A *dog* is in front of a waterfall.,A dog (black) is in front of a waterfall., A *black* *dog* in front of a waterfall., *A* *dog* is in front of a waterfall.,A black dog is a type of dog., A *black* *dog* in front of a waterfall., A *dog* is in front of a waterfall.,['black dog'],['dog'],['black dog'],['A dog'],['black dog'],['dog'],classification
