Unnamed: 0.1,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type,matching_explanations
16,16,1034985636.jpg#3r1e,entailment,A man playing an electric guitar on stage.,A man playing guitar on stage.,An electric guitar is a guitar., A man playing an *electric* *guitar* on stage., A man playing *guitar* on stage.,An electric guitar is a type of guitar., A man playing an *electric* *guitar* on stage., A man playing *guitar* on stage.,A electric guitar was played in a stage, A man playing an *electric* guitar on stage., A man playing *guitar* on stage.,"['electric', 'guitar']",['guitar'],"['electric', 'guitar']",['guitar'],['electric'],['guitar'],classification,2
18,18,3856149623.jpg#1r1e,entailment,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is looking at a book,A doctor is looking at the new medical manuals., A blond-haired doctor and her African american assistant looking threw *new* *medical* *manuals.*, *A* *doctor* *is* *looking* at a book,A medical manual is a type of book., A blond-haired doctor and her African american assistant looking threw new *medical* *manuals.*, A doctor is looking at a *book*,A doctor looking is description of blond-haired doctor looking threw or looking at a book (medical manuals)., A blond-haired *doctor* and her African american assistant looking *threw* *new* *medical* *manuals.*, A *doctor* is *looking* at a *book*,"['new', 'medical', 'manuals.']","['A', 'doctor', 'is', 'looking']","['medical', 'manuals.']",['book'],"['doctor', 'threw', 'new', 'medical', 'manuals.']","['doctor', 'looking', 'book']",classification,2
51,51,351765604.jpg#0r1e,entailment,A woman wearing a ball cap squats down to touch the cracked earth.,A squatting woman wearing a hat touching the ground.,"Cracked earth is a form of the ground, and a ball cap is a type of hat.", A woman wearing a *ball* *cap* squats down to touch the *cracked* *earth.*, A squatting woman wearing a *hat* touching the *ground.*,"Squats is the same as squatting, and cracked earth is the same as the ground.", A woman wearing a ball cap *squats* down to touch the *cracked* *earth.*, A *squatting* woman wearing a hat touching the *ground.*,"Squatting woman is a type of woman, and ball cap is a type of hat.", A *woman* wearing a *ball* *cap* squats down to touch the cracked earth., A *squatting* *woman* wearing a *hat* touching the ground.,"['ball', 'cap', 'cracked', 'earth.']","['hat', 'ground.']","['squats', 'cracked', 'earth.']","['squatting', 'ground.']","['woman', 'ball', 'cap']","['squatting', 'woman', 'hat']",classification,"1,3"
77,77,2936881937.jpg#0r1n,entailment,A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A person is in a garage.,"Man is person, and maintenance garage is a type of garage.", A *man* looking over a bicycle's rear wheel in the *maintenance* *garage* with various tools visible in the background., A *person* is in a *garage.*,A man is a person.  The garage is the location in both sentences., A *man* looking over a bicycle's rear wheel in the maintenance *garage* with various tools visible in the background., A *person* is in a *garage.*,A man is a person., A *man* looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background., A *person* is in a garage.,"['man', 'maintenance', 'garage']","['person', 'garage.']","['man', 'garage']","['person', 'garage.']",['man'],['person'],classification,1
78,78,2936881937.jpg#0r1e,entailment,A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man repairs bicycles.,Looking over a bicycle's rear wheel in the maintenance garage implies that the man repairs bicycles., A man *looking* *over* *a* *bicycle's* *rear* *wheel* *in* *the* *maintenance* *garage* with various tools visible in the background., A man *repairs* *bicycles.*,Looking over a bicycle's rear wheel is a form of repairs bicycles., A man *looking* *over* *a* *bicycle's* *rear* *wheel* in the maintenance garage with various tools visible in the background., A man *repairs* *bicycles.*,"If a bicycle's in a maintenance garage with tools, this implies the person in the garage is intending to make repairs to the bicycles using the tools.", A man looking over a *bicycle's* rear wheel *in* the *maintenance* *garage* *with* various *tools* visible in the background., A man *repairs* *bicycles.*,"['looking', 'over', 'a', ""bicycle's"", 'rear', 'wheel', 'in', 'the', 'maintenance', 'garage']","['repairs', 'bicycles.']","['looking', 'over', 'a', ""bicycle's"", 'rear', 'wheel']","['repairs', 'bicycles.']","[""bicycle's"", 'in', 'maintenance', 'garage', 'with', 'tools']","['repairs', 'bicycles.']",classification,2
91,91,3338217927.jpg#2r1e,entailment,A dog jumping for a Frisbee in the snow.,"An animal is outside in the cold weather, playing with a plastic toy.","A dog is a form of animal, for there to be snow it must be cold weather outside, and ""jumping for a frisbee"" is a rephrasing of ""playing with a plastic toy.""", A *dog* *jumping* *for* *a* *Frisbee* *in* *the* *snow.*," An *animal* is *outside* *in* *the* *cold* *weather,* *playing* *with* *a* *plastic* *toy.*",Answer: The animal is a dog and the plastic toy is a frisbee., A *dog* jumping for a *Frisbee* in the snow.," An *animal* is outside in the cold weather, playing with a *plastic* *toy.*","A dog falls under the category of animal, frisbee falls under category of plastic toy, in the snow means in the cold weather.", A *dog* *jumping* for a *Frisbee* in the *snow.*," An *animal* is *outside* in the cold *weather,* playing with a *plastic* *toy.*","['dog', 'jumping', 'for', 'a', 'Frisbee', 'in', 'the', 'snow.']","['animal', 'outside', 'in', 'the', 'cold', 'weather', 'playing', 'with', 'a', 'plastic', 'toy.']","['dog', 'Frisbee']","['animal', 'plastic', 'toy.']","['dog', 'jumping', 'Frisbee', 'snow.']","['animal', 'outside', 'weather', 'plastic', 'toy.']",classification,1
93,93,264460711.jpg#2r1e,entailment,People are conversing at a dining table under a canopy.,People are talking underneath a covering.,People conversing must be talking., People are *conversing* at a dining table under a canopy., People are *talking* underneath a covering.,Canopy is a kind of covering, People are conversing at a dining table under a *canopy.*, People are talking underneath a *covering.*,Conversing and talking mean the same thins as canopy and covering mean the same thing., People are *conversing* at a dining table under a *canopy.*, People are *talking* underneath a *covering.*,['conversing'],['talking'],['canopy.'],['covering.'],"['conversing', 'canopy.']","['talking', 'covering.']",classification,2
110,110,2147876139.jpg#4r1e,entailment,Three girls blow out the candles of a cake made of Peeps.,There are three girls and a cake,Cake made of Peeps is a type of cake., Three girls blow out the candles of a *cake* *made* *of* *Peeps.*, There are three girls and a *cake*,There are both three girls and a cake in this scene., *Three* *girls* blow out the candles of a *cake* made of Peeps., There are *three* *girls* and a *cake*,The three girls are still near the cake after they have blown out the candles., *Three* *girls* blow out the candles of a *cake* made of Peeps., There are *three* *girls* and a *cake*,"['cake', 'made', 'of', 'Peeps.']",['cake'],"['Three', 'girls', 'cake']","['three', 'girls', 'cake']","['Three', 'girls', 'cake']","['three', 'girls', 'cake']",classification,1
119,119,3661659196.jpg#3r1e,entailment,Two teenage girls conversing next to lockers.,People talking next to lockers.,Teenage girls conversing next to lockers implies that people talking next to lockers., Two *teenage* *girls* *conversing* *next* *to* *lockers.*, *People* *talking* *next* *to* *lockers.*,Girls are people and talking is another way of saying conversing., Two teenage *girls* *conversing* next to lockers., *People* *talking* next to lockers.,conversing is a form of talking, Two teenage girls *conversing* next to lockers., People *talking* next to lockers.,"['teenage', 'girls', 'conversing', 'next', 'to', 'lockers.']","['People', 'talking', 'next', 'to', 'lockers.']","['girls', 'conversing']","['People', 'talking']",['conversing'],['talking'],classification,3
124,124,4512171349.jpg#2r1e,entailment,"Two children, both wearing tan coats, are embracing one another.",Two kids are hugging.,Children are kids. Embracing is a form of hugging.," Two *children,* both wearing tan coats, are *embracing* one another.", Two *kids* are *hugging.*,"Kids are children, and hugging means to be embracing one another."," Two *children,* both wearing tan coats, are *embracing* *one* *another.*", Two *kids* are *hugging.*,Hugging is a form of embracing.," Two children, both wearing tan coats, are *embracing* one another.", Two kids are *hugging.*,"['children', 'embracing']","['kids', 'hugging.']","['children', 'embracing', 'one', 'another.']","['kids', 'hugging.']",['embracing'],['hugging.'],classification,"1,3"
